ir,red,heart_rate,gsr,cortisol
2243,1230,60,73,14.71
2219,1183,48,15,10.39
2240,1241,43,58,12.7
2246,1268,54,59,12.77
2222,1275,57,62,13.02
2258,1277,50,57,13.48
2263,1309,61,55,13.54
2229,1272,61,63,13.35
2279,1280,62,57,12.82
2242,1278,57,57,12.64
2289,1273,49,58,12.82
2252,1262,63,59,13.32
2272,1319,60,59,12.85
2264,1271,58,58,13.46
2245,1236,53,180,15.6
2228,1267,38,54,12.81
2272,1264,41,50,14.69
2266,1266,63,64,13.16
2217,1301,54,59,13.28
2143,1236,61,64,13.51
2123,1188,58,68,13.73
2167,1277,54,78,13.66
2188,1244,60,73,13.66
2228,1245,55,80,14.19
2185,1255,62,76,14.68
2182,1237,50,81,13.84
2153,1272,54,84,13.83
2186,1230,58,80,13.86
2182,1208,58,83,14.05
2164,1198,58,81,13.92
2185,1224,56,81,13.66
2167,1181,55,80,13.94
2151,1255,55,83,14.14
2195,1261,61,83,13.41
2229,1247,54,91,13.64
2242,1258,80,1323,19.59
2265,1304,86,1451,19.45
2250,1276,86,1253,19.25
2276,1290,104,1991,20.05
2247,1264,121,1535,19.75
2313,1271,90,1456,19.76
2251,1278,107,2043,20.58
2221,1279,95,1648,19.4
2245,1294,96,1506,19.15
2221,1249,84,1509,20.12
970,781,89,1447,19.78
11448,13777,89,1210,19.31
191031,139376,82,1069,18.84
191354,139523,81,1051,18.73
190991,139415,74,1059,18.55
190907,139410,82,1104,19.3
190866,139318,82,1101,18.92
190352,138914,88,1117,18.62
190023,138333,82,1115,18.78
190191,138098,77,1089,18.78
190301,138078,83,1088,18.89
190213,137869,74,1072,18.72
189940,137351,75,1021,19.3
189970,137366,80,1023,19.34
189975,137270,82,1033,18.47
190322,137311,81,960,18.63
190688,137551,83,970,18.33
190514,137422,81,977,19.23
190483,137386,74,961,18.86
1657,1260,87,1257,19.36
2093,1257,85,1327,19.87
2170,1224,87,1347,19.3
2078,1202,73,993,18.48
2141,1212,85,1469,21.7
2137,1247,95,1482,19.76
2173,1263,90,1328,19.68
2132,1175,67,799,18.56
2145,1218,72,715,17.72
2170,1273,91,1392,19.28
2230,1230,85,1049,18.44
2169,1274,87,1402,19.13
2253,1228,80,1066,19.05
2240,1320,82,990,19.24
2227,1258,72,777,18.51
2226,1246,72,989,19.14
